make,model,mileage,fuel-type,first-registration,price
volkswagen,golf gti,43000,b,11-2019,24850
volkswagen,golf gti,134000,b,05-2018,19999
volkswagen,golf gti,92000,b,11-2016,17250
volkswagen,golf gti,30264,b,03-2022,28940
volkswagen,golf gti,138000,b,04-2015,15500
volkswagen,golf gti,185239,b,05-2012,8000
volkswagen,golf gti,160000,b,03-2014,9200
volkswagen,golf gti,237000,b,03-2005,4500
volkswagen,golf gti,380000,d,06-2001,2600
volkswagen,golf gti,171000,b,10-2010,12000
volkswagen,golf gti,36583,b,01-2020,26900
volkswagen,golf gti,118957,b,06-2012,10999
volkswagen,golf gti,53000,b,09-2019,21999
volkswagen,golf gti,140000,b,09-2012,10800
volkswagen,golf gti,92309,b,06-2018,19600
volkswagen,golf gti,167000,b,06-2015,14000
volkswagen,golf gti,28200,b,04-2021,33790
volkswagen,golf gti,103930,b,12-2019,25470
volkswagen,golf gti,60800,b,03-2018,21800
volkswagen,golf gti,84000,b,08-2017,19699
volkswagen,golf gti,17120,b,02-2023,31990
volkswagen,golf gti,95580,b,02-1988,21990
volkswagen,golf gti,41500,b,07-2013,17490
volkswagen,golf gti,19838,b,11-2022,33575
volkswagen,golf gti,193500,b,05-2009,7899
volkswagen,golf gti,49409,b,12-2019,29500
volkswagen,golf gti,103182,b,10-2017,21490
volkswagen,golf gti,96652,b,04-2015,17490
volkswagen,golf gti,90000,b,06-2019,21800
volkswagen,golf gti,10740,b,01-2022,28949
volkswagen,golf gti,66920,b,04-2019,25490
volkswagen,golf gti,181000,b,10-2007,6000
volkswagen,golf gti,78000,b,05-2018,24300
volkswagen,golf gti,19613,b,03-2022,30930
volkswagen,golf gti,108000,b,02-2016,19300
volkswagen,golf gti,75559,b,08-2016,24190
volkswagen,golf gti,85000,b,03-2019,20800
volkswagen,golf gti,31754,b,09-2017,30480
volkswagen,golf gti,215000,b,09-2001,5500
volkswagen,golf gti,232000,b,05-2006,5999
volkswagen,golf gti,217000,b,05-2005,6000
volkswagen,golf gti,135742,b,08-2014,17500
volkswagen,golf gti,185000,b,02-2012,11399
volkswagen,golf gti,9800,b,08-2023,33940
volkswagen,golf gti,81111,b,12-2019,24900
volkswagen,golf gti,78070,b,06-2018,24599
volkswagen,golf gti,173000,b,08-2010,8999
volkswagen,golf gti,191000,b,03-2007,8850
volkswagen,golf gti,90000,b,06-2016,22400
volkswagen,golf gti,42615,b,04-2021,34990
volkswagen,golf gti,18000,b,01-2023,31599
volkswagen,golf gti,115000,b,05-2018,21499
volkswagen,golf gti,147948,b,03-2014,14190
volkswagen,golf gti,93850,b,03-2018,20400
volkswagen,golf gti,111000,b,10-2014,16500
volkswagen,golf gti,12210,b,02-2023,37480
volkswagen,golf gti,79000,b,04-2017,19490
volkswagen,golf gti,91907,b,10-2017,20430
volkswagen,golf gti,38000,b,03-2017,23990
volkswagen,golf gti,231258,b,06-2003,6850
volkswagen,golf gti,90000,b,06-2017,21000
volkswagen,golf gti,134000,b,12-2011,13490
volkswagen,golf gti,1364,b,01-2023,33570
volkswagen,golf gti,30000,b,06-2022,39970
volkswagen,golf gti,76596,b,10-2006,11490
volkswagen,golf gti,68700,b,12-2019,23988
volkswagen,golf gti,89000,b,06-2016,22900
volkswagen,golf gti,158000,b,07-2016,16000
volkswagen,golf gti,4200,b,12-2023,35000
volkswagen,golf gti,150000,b,02-2011,10400
volkswagen,golf gti,97000,b,04-2016,17500
volkswagen,golf gti,55000,b,05-2019,25200
volkswagen,golf gti,66270,b,07-2016,19680
volkswagen,golf gti,160000,b,08-2012,10500
volkswagen,golf gti,68400,b,01-2017,25999
volkswagen,golf gti,20000,b,09-2023,31799
volkswagen,golf gti,53100,b,12-2016,19990
volkswagen,golf gti,135000,b,05-2012,9500
volkswagen,golf gti,232840,b,06-2010,9500
volkswagen,golf gti,134000,b,12-2016,17000
volkswagen,golf gti,51571,b,12-2020,27280
volkswagen,golf gti,71900,b,04-2016,23485
volkswagen,golf gti,104000,b,05-2016,22900
