title,price,category
1959 Alfa Romeo Giulietta Spider,"Sold for $74,000 on 3/31/21",convertibles
47-Years-Owned 1958 Alfa Romeo Giulietta Spider 750D,"Sold for $50,100 on 3/9/21",convertibles
Modified 1959 Alfa Romeo Giulietta Sprint,"Sold for $50,500 on 2/26/21",convertibles
Modified 1957 Alfa Romeo Giulietta Spider,"Sold for $27,500 on 2/23/21",convertibles
1958 Alfa Romeo Giulietta Sprint 750B 2.0L,"Sold for $69,000 on 2/19/21",convertibles
1960 Alfa Romeo Giulietta Spider Veloce,"Bid to $95,013 on 1/13/21",convertibles
1961 Alfa Romeo Giulietta Sprint,"Sold for $65,000 on 12/28/20",convertibles
1959 Alfa Romeo Giulietta Spider Veloce 750F,"Sold for $107,500 on 12/23/20",convertibles
1961 Alfa Romeo Giulietta Spider,"Bid to $47,000 on 11/9/20",convertibles
1961 Alfa Romeo Giulietta Sprint Veloce Race Car,"Sold for $35,000 on 10/14/20",convertibles
1957 Alfa Romeo Giulietta Spider,"Sold for $41,000 on 10/9/20",convertibles
1964 Alfa Romeo Giulietta TI,"Sold for $19,555 on 9/24/20",convertibles
1962 Alfa Romeo Giulietta Sprint Zagato Coda Tronca,"Bid to $685,000 on 9/18/20",convertibles
1957 Alfa Romeo Giulietta Sprint Veloce Lightweight,"Sold for $365,000 on 8/21/20",convertibles
1959 Alfa Romeo Giulietta Spider,"Sold for $32,250 on 8/20/20",convertibles
46-Years-Owned 1961 Alfa Romeo Giulietta Sprint,"Bid to $18,750 on 8/19/20",convertibles
1960 Alfa Romeo Giulietta Spider Project,"Sold for $36,500 on 8/11/20",convertibles
1956 Alfa Romeo Giulietta Sprint,"Bid to $84,000 on 7/23/20",convertibles
1958 Alfa Romeo Giulietta Spider Veloce 750F 5-Speed,"Sold for $81,000 on 5/28/20",convertibles
1961 Alfa Romeo Giulietta Sprint Project,"Sold for $24,250 on 5/27/20",convertibles
1960 Alfa Romeo Giulietta Berlina,"Sold for $35,000 on 5/20/20",convertibles
1958 Alfa Romeo Giulietta Spider Veloce 750F,"Sold for $91,000 on 5/13/20",convertibles
1957 Alfa Romeo Giulietta Sprint Veloce Lightweight,"Sold for $280,000 on 5/11/20",convertibles
1960 Alfa Romeo Giulietta Spider Veloce,"Bid to $30,250 on 4/28/20",convertibles
1958 Alfa Romeo Giulietta Sprint 750B Project,"Sold for $10,500 on 4/20/20",convertibles
