make,model,mileage,fuel-type,first-registration,price
volkswagen,scirocco,185000,b,03-2015,9200
volkswagen,scirocco,95000,b,10-2011,10700
volkswagen,scirocco,219000,b,10-2008,5500
volkswagen,scirocco,34600,b,06-2017,24499
volkswagen,scirocco,27000,b,03-2017,34980
volkswagen,scirocco,204200,b,04-1991,8200
volkswagen,scirocco,78000,b,04-2014,14880
volkswagen,scirocco,233000,b,11-2010,7000
volkswagen,scirocco,141000,b,03-2010,17500
volkswagen,scirocco,246000,b,05-2011,6200
volkswagen,scirocco,178000,b,02-2011,4500
volkswagen,scirocco,180000,b,06-2011,8900
volkswagen,scirocco,181000,b,01-2010,8000
volkswagen,scirocco,109650,d,02-2013,12998
volkswagen,scirocco,114500,b,04-2010,9900
volkswagen,scirocco,119000,b,04-2016,22999
volkswagen,scirocco,182000,b,01-2009,6450
volkswagen,scirocco,99962,b,03-2015,17430
volkswagen,scirocco,113210,b,07-2016,13790
volkswagen,scirocco,132000,b,09-2011,8450
volkswagen,scirocco,112980,d,12-2015,14970
volkswagen,scirocco,168500,b,02-2009,12499
volkswagen,scirocco,132800,b,06-2009,9700
volkswagen,scirocco,104800,b,07-2010,18900
volkswagen,scirocco,173000,b,06-2008,8000
volkswagen,scirocco,175000,b,07-2011,16400
volkswagen,scirocco,165000,b,06-2010,12500
volkswagen,scirocco,127000,b,01-2017,14450
volkswagen,scirocco,183765,b,03-2009,7890
volkswagen,scirocco,64152,b,12-2008,12700
volkswagen,scirocco,162181,b,08-2009,7500
volkswagen,scirocco,79896,b,04-2016,17990
volkswagen,scirocco,134000,b,02-2013,13900
volkswagen,scirocco,121350,d,07-2016,16900
volkswagen,scirocco,164300,b,08-2010,11400
volkswagen,scirocco,316790,b,12-1987,8450
volkswagen,scirocco,34800,b,03-2017,23888
volkswagen,scirocco,143000,d,02-2014,15000
volkswagen,scirocco,72700,b,08-2011,23990
volkswagen,scirocco,176000,b,11-2009,8999
volkswagen,scirocco,96000,b,12-2013,15000
volkswagen,scirocco,89000,b,02-2017,15900
volkswagen,scirocco,178000,b,04-2010,8800
volkswagen,scirocco,89000,b,07-2011,11800
volkswagen,scirocco,141000,b,07-2012,10300
volkswagen,scirocco,130000,b,06-2009,10000
volkswagen,scirocco,145300,b,06-2013,17900
volkswagen,scirocco,80000,b,11-2009,15000
volkswagen,scirocco,101000,b,01-2011,12500
volkswagen,scirocco,261159,b,08-2008,7500
volkswagen,scirocco,138800,b,06-2009,10700
volkswagen,scirocco,82200,b,05-2010,9990
volkswagen,scirocco,119800,b,11-2009,18990
volkswagen,scirocco,168000,b,03-2012,12000
volkswagen,scirocco,142500,b,12-2010,8499
volkswagen,scirocco,212500,b,10-2011,9000
volkswagen,scirocco,193500,b,04-2010,8500
volkswagen,scirocco,97850,b,05-2014,14200
volkswagen,scirocco,198000,b,08-2011,9990
volkswagen,scirocco,185000,b,01-2010,7800
volkswagen,scirocco,100000,b,01-2011,12500
volkswagen,scirocco,174950,b,05-2009,7990
volkswagen,scirocco,149984,b,07-2008,10500
volkswagen,scirocco,221000,b,05-2010,7000
volkswagen,scirocco,225000,b,12-2009,5500
volkswagen,scirocco,153000,b,05-2014,10000
volkswagen,scirocco,139161,b,04-2011,18900
volkswagen,scirocco,130000,b,06-2009,10000
volkswagen,scirocco,130000,b,06-2009,10000
volkswagen,scirocco,137000,b,04-2011,11000
volkswagen,scirocco,173466,d,05-2009,11500
volkswagen,scirocco,91598,b,04-2016,20500
volkswagen,scirocco,195000,b,05-2015,14000
volkswagen,scirocco,146049,b,09-2013,7900
volkswagen,scirocco,160000,b,07-2009,3699
volkswagen,scirocco,122439,b,06-2011,5990
